Items,group,Son,Audio1,Audio2
P1,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P1-Q-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P1-A-Topic.wav
P2,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P2-Q-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P2-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P2-A-Topic.wav
P1,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P1-Q-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P1-A-Topic.wav
P2,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P2-Q-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P2-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P2-A-Topic.wav
P1,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P1-Q-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P1-A-Topic.wav
P2,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P2-Q-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P2-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-P2-A-Topic.wav
